@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001238,0.017404,0.19108,0.199112,-0.002456,0.256827,-0.057715,-0.469169,0.001961,0.049468,-0.001238,-0.001238,-0.001238,0.844406,2.749368,6.747931,6.479832,-9.041997,9.491164,-3.011332,-0.520166,3281.639893,78.156204,-0.844406,-0.844406,-0.844406,-0.843168,0,0,0,0,0,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00681,0.081574,0.771974,0.786791,-0.047824,1.029923,-0.243132,-0.435986,0.50163,0.810334,-0.00681,-0.00681,-0.00681,1.4276,4.313161,9.667024,8.974908,-21.360142,13.5976,-4.622693,-0.505792,13370.286133,165.989532,-1.4276,-1.4276,-1.4276,-1.42079,0,0,0,0,0,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031137,0.32046,2.624122,2.599828,-0.664558,3.46986,-0.870033,-0.398017,63.652756,9.417336,-0.031137,-0.031137,-0.031137,2.320555,6.48574,13.195191,11.729918,-46.073212,18.551249,-6.82133,-0.490816,44288.316406,321.88385,-2.320555,-2.320555,-2.320555,-2.289418,0,0,0,0,0,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059478,0.573459,4.603939,4.322646,-2.039294,5.824821,-1.502176,-0.252223,501.558136,26.842442,-0.059478,-0.059478,-0.059478,3.066845,8.231523,16.536663,13.892384,-69.69426,22.304827,-8.412443,-0.392503,91051.851563,471.77536,-3.066845,-3.066845,-3.066845,-3.007368,0,0,0,0,0,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021475,0.020046,-0.00003,0.026156,-0.00611,-0.003957,0,0.000521,0,0,0.225015,1.889755,13.410641,12.147356,-17.899706,16.541655,-4.394299,-0.12799,32338.435547,219.157074,-0.225015,-0.225015,-0.225015,5.10156,12.489882,22.768509,17.58713,-143.927734,29.829464,-12.242334,-0.319643,273742.40625,885.018127,-5.10156,-5.10156,-5.10156,-4.876545,0.689474,6.894737,0,6.894737,2.180307,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193,0.13983,0.14235,-0.000456,0.176266,-0.033916,0.286543,0.000448,0.022088,0,0,0.587175,4.540991,29.281801,27.162457,-60.873089,35.73175,-8.569295,0.046563,723995.8125,981.291321,-0.587175,-0.587175,-0.587175,8.196503,18.38278,30.632488,21.771866,-257.324585,38.302284,-16.53042,-0.187294,712591.5,1503.312744,-8.196503,-8.196503,-8.196503,-7.609327,2.577631,7.638889,0,25.776316,3.540652,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0.00395,0.244134,0.245367,-0.001787,0.306194,-0.060827,0.260686,0.004055,0.067352,-0.000001,-0.000001,0.873453,6.638357,40.910946,40.591152,-40.627159,50.380043,-9.78889,0.178372,2982478.75,1810.150146,-0.873453,-0.873453,-0.873452,11.329263,24.229166,37.564404,27.292603,-333.102661,45.874367,-18.581766,0.001829,1547349.5,2077.296631,-11.329263,-11.329263,-11.329262,-10.45581,2.977924,10.868421,0,29.77924,4.210749,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024,0.04692,0.049916,0.000064,0.058402,-0.008487,0.284962,0.000006,0.002237,0,0,0.50895,4.185161,28.010071,28.091625,-18.350733,34.812881,-6.721257,0.226416,680666.1875,862.542358,-0.50895,-0.50895,-0.50895,10.328467,23.259989,38.0205,31.022486,-261.01004,47.184853,-16.162365,0.141023,1930982.25,2006.434937,-10.328467,-10.328467,-10.328467,-9.819517,1.092105,7.289474,0,10.921053,2.458497,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000801,0.066442,0.070131,-0.000148,0.087554,-0.017423,0.433113,0.000027,0.00551,0,0,0.470499,3.907361,25.663872,25.927605,-31.087292,32.921131,-6.993525,0.332379,535500.125,796.589844,-0.470499,-0.470499,-0.470499,10.38137,23.881414,38.67704,34.903851,-214.050934,49.658154,-14.754304,0.284409,2527298,2074.482422,-10.38137,-10.38137,-10.38137,-9.910871,1.109503,3.805556,0,11.095029,1.787016,0,'class 1'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0.000526,0.000597,-0,0.000724,-0.000128,0.632277,0,0,0,0,0.103505,1.045321,8.190948,8.705512,-2.035947,10.830786,-2.125273,0.447345,6360.693848,83.929733,-0.103505,-0.103505,-0.103505,6.837342,17.555265,32.537052,32.222649,-97.225563,42.824631,-10.60198,0.386659,1481861.75,1427.201294,-6.837342,-6.837342,-6.837342,-6.733837,0,0,0,0,0,0,'class 1'
